Measure Names,Day of c_date,is_new,Number of Records
No Measure Value,"September 15, 2014",66,10584
No Measure Value,"September 8, 2014",69,10577
No Measure Value,"August 18, 2014",62,10561
No Measure Value,"September 1, 2014",59,10545
No Measure Value,"September 22, 2014",40,10541
No Measure Value,"August 11, 2014",67,10541
No Measure Value,"August 25, 2014",62,10534
No Measure Value,"August 4, 2014",63,10523
No Measure Value,"July 28, 2014",71,10516
No Measure Value,"July 21, 2014",57,10500
No Measure Value,"July 7, 2014",56,10493
No Measure Value,"July 14, 2014",57,10487
No Measure Value,"September 29, 2014",27,10470
No Measure Value,"June 30, 2014",59,10459
No Measure Value,"October 6, 2014",37,10442
No Measure Value,"June 23, 2014",67,10435
No Measure Value,"June 16, 2014",78,10410
No Measure Value,"October 13, 2014",34,10396
No Measure Value,"June 9, 2014",92,10370
No Measure Value,"October 20, 2014",36,10331
No Measure Value,"June 2, 2014",87,10331
No Measure Value,"October 27, 2014",42,10291
No Measure Value,"May 26, 2014",81,10288
No Measure Value,"May 19, 2014",78,10241
No Measure Value,"May 12, 2014",76,10183
No Measure Value,"May 5, 2014",101,10141
No Measure Value,"April 28, 2014",86,10084
No Measure Value,"April 21, 2014",68,10018
No Measure Value,"April 14, 2014",87,10008
No Measure Value,"April 7, 2014",68,9989
No Measure Value,"March 31, 2014",76,9965
No Measure Value,"March 24, 2014",78,9902
No Measure Value,"March 17, 2014",77,9837
No Measure Value,"March 10, 2014",63,9794
No Measure Value,"February 17, 2014",80,9789
No Measure Value,"February 10, 2014",77,9788
No Measure Value,"February 3, 2014",87,9773
No Measure Value,"March 3, 2014",60,9759
No Measure Value,"January 27, 2014",93,9729
No Measure Value,"February 24, 2014",87,9728
No Measure Value,"January 20, 2014",70,9715
No Measure Value,"January 13, 2014",77,9651
No Measure Value,"January 6, 2014",252,9615
No Measure Value,"December 30, 2013",38,9125
No Measure Value,"December 23, 2013",77,9092
No Measure Value,"December 16, 2013",74,9026
No Measure Value,"December 9, 2013",76,8946
No Measure Value,"December 2, 2013",58,8867
